,objectID,dimensions,width,height,depth
0,1966.50.1,386.1 x 224.8 x nan cm,386.1,224.8,
1,1967.2.1,76.5 x 106.0 x nan cm,76.5,106.0,
2,1969.10.1,91.4 x 66.0 x nan cm,91.4,66.0,
3,1969.14.1,182.9 x 152.4 x nan cm,182.9,152.4,
4,1971.12.1,94.1 x 134.8 x nan cm,94.1,134.8,
5,1971.4.1,86.4 x 68.6 x nan cm,86.4,68.6,
6,1971.46.1,59.7 x 44.5 x nan cm,59.7,44.5,
7,1971.49.1,67.3 x 101.6 x nan cm,67.3,101.6,
8,1971.5.1,54.0 x 39.4 x nan cm,54.0,39.4,
9,1971.57.1,39.1 x 28.9 x nan cm,39.1,28.9,
10,1971.58.1,69.9 x 54.6 x nan cm,69.9,54.6,
11,1972.25.1,90.2 x 71.1 x nan cm,90.2,71.1,
12,1972.26.1,109.2 x 88.9 x 11.4 cm,109.2,88.9,11.4
13,1972.30.1,23.3 x 33.3 x nan cm,23.3,33.3,
14,1972.32.1,174.0 x 124.5 x nan cm,174.0,124.5,
15,1972.42.1,,,,
16,1973.1.690,186.7 x 44.5 x nan cm,186.7,44.5,
17,1973.1.695,198.1 x 82.6 x nan cm,198.1,82.6,
18,1973.1.701,198.1 x 77.5 x nan cm,198.1,77.5,
19,1973.1.702,48.3 x 22.9 x nan cm,48.3,22.9,
20,1973.1.706,53.3 x 36.2 x nan cm,53.3,36.2,
21,1973.1.711,111.1 x 83.8 x nan cm,111.1,83.8,
22,1973.1.717,48.3 x 50.8 x nan cm,48.3,50.8,
23,1973.1.718,61.0 x 23.5 x nan cm,61.0,23.5,
24,1973.1.720,55.9 x 20.3 x nan cm,55.9,20.3,
25,1973.1.727.4,,,,
26,1973.1.735,144.8 x 41.9 x nan cm,144.8,41.9,
27,1973.1.738,40.6 x 74.9 x nan cm,40.6,74.9,
28,1973.1.739,148.6 x 38.1 x nan cm,148.6,38.1,
29,1973.1.740,34.3 x 36.8 x nan cm,34.3,36.8,
30,1973.1.751,63.5 x nan x nan cm,63.5,,
31,1973.1.752,158.8 x 33.0 x nan cm,158.8,33.0,
32,1973.1.753,69.9 x 49.5 x nan cm,69.9,49.5,
33,1973.1.788,22.9 x 20.3 x nan cm,22.9,20.3,
34,1973.1.791.A,41.0 x 30.0 x nan cm,41.0,30.0,
35,1973.1.796,182.9 x nan x nan cm,182.9,,
36,1973.1.808,35.6 x 43.2 x nan cm,35.6,43.2,
37,1973.1.811,14.0 x 29.8 x nan cm,14.0,29.8,
38,1973.1.823,83.8 x 11.4 x nan cm,83.8,11.4,
39,1973.1.854,35.6 x 48.3 x nan cm,35.6,48.3,
40,1973.25.1,96.5 x 96.5 x nan cm,96.5,96.5,
41,1973.26.1,96.5 x 96.5 x nan cm,96.5,96.5,
42,1973.48.1,231.1 x 119.4 x nan cm,231.1,119.4,
43,1973.80.6,142.2 x nan x nan cm,142.2,,
44,1974.38.11,29.2 x 19.1 x nan cm,29.2,19.1,
45,1974.38.2,90.2 x 70.5 x nan cm,90.2,70.5,
46,1974.38.4,61.0 x 50.8 x nan cm,61.0,50.8,
47,1974.38.7,50.8 x 63.5 x nan cm,50.8,63.5,
48,1974.38.8,29.8 x 40.6 x nan cm,29.8,40.6,
49,1975.17.2,86.4 x 91.4 x nan cm,86.4,91.4,
50,1975.20.27,94.0 x 94.3 x 6.4 cm,94.0,94.3,6.4
51,1975.20.28,152.4 x 182.9 x nan cm,152.4,182.9,
52,1975.27.1,106.7 x 121.9 x nan cm,106.7,121.9,
53,1975.27.2,55.9 x 73.7 x nan cm,55.9,73.7,
54,1975.38.1,61.0 x 101.6 x nan cm,61.0,101.6,
55,1975.4.1,,,,
56,1975.49.1,74.3 x 60.3 x nan cm,74.3,60.3,
57,1975.51.1,51.8 x 61.6 x 4.1 cm,51.8,61.6,4.1
58,1975.53.10,40.6 x 38.1 x nan cm,40.6,38.1,
59,1975.53.13,20.3 x 6.4 x nan cm,20.3,6.4,
60,1975.53.5,15.9 x 15.9 x nan cm,15.9,15.9,
61,1976.10.1,248.9 x 321.3 x nan cm,248.9,321.3,
62,1976.101.1,205.1 x 239.4 x nan cm,205.1,239.4,
63,1976.103.1,194.3 x 325.1 x nan cm,194.3,325.1,
64,1976.106.51,67.6 x 65.7 x nan cm,67.6,65.7,
65,1976.21.1,58.4 x 91.4 x nan cm,58.4,91.4,
66,1976.31.1,163.8 x 240.0 x nan cm,163.8,240.0,
67,1976.35.1,54.3 x 44.5 x nan cm,54.3,44.5,
68,1976.36.1,28.3 x 37.8 x 4.1 cm,28.3,37.8,4.1
69,1976.4.1,147.3 x 147.3 x nan cm,147.3,147.3,
70,1976.47.1,61.9 x 71.8 x 4.1 cm,61.9,71.8,4.1
71,1976.6.1,94.3 x 109.2 x 4.4 cm,94.3,109.2,4.4
72,1976.63.1,65.4 x 53.3 x nan cm,65.4,53.3,
73,1976.69.1,20.3 x 16.5 x nan cm,20.3,16.5,
74,1976.70.1,61.0 x 50.8 x nan cm,61.0,50.8,
75,1976.8.1,104.1 x 94.0 x nan cm,104.1,94.0,
76,1976.80.18,238.8 x 129.5 x nan cm,238.8,129.5,
77,1976.9.1,142.2 x 78.7 x nan cm,142.2,78.7,
78,1976.9.10,182.9 x 114.3 x nan cm,182.9,114.3,
79,1976.9.11,203.2 x 139.7 x nan cm,203.2,139.7,
80,1976.9.12,224.8 x 144.8 x nan cm,224.8,144.8,
81,1976.9.13,182.9 x 134.6 x nan cm,182.9,134.6,
82,1976.9.14,99.1 x 57.2 x nan cm,99.1,57.2,
83,1976.9.15,203.2 x 148.6 x nan cm,203.2,148.6,
84,1976.9.16,147.3 x 281.9 x nan cm,147.3,281.9,
