,objectID,room,locationType,locationID,locationLetter,artist,info
0,1966.50.1,Nasher Painting Storage Room,Wall Screen,27.0,,Spanish,"Stenciled Leather Rug or Wall Covering, 18th century"
1,1967.2.1,Nasher Painting Storage Room,Screen,10.0,B,attributed to Nicolaes Berchem,"Pastoral Scene, 17th century"
2,1969.10.1,Nasher Painting Storage Room,Screen,25.0,B,George Benjamin Luks,"Miss Francis Lord Seymour, c. 1915"
3,1969.14.1,Nasher Painting Storage Room,Screen,54.0,A,"Paul Jenkins, American, 1923 - 2012","Phenomena Above Hanks' Mirror, 1969"
4,1971.4.1,Nasher Painting Storage Room,Screen,25.0,B,Francis Bicknell Carpenter,"Henry Ward Beecher, 1858"
5,1971.5.1,Nasher Painting Storage Room,Screen,52.0,A,Barbara Thompson,"Plowed Field and Trees, 1970"
6,1971.12.1,Nasher Painting Storage Room,Screen,11.0,A,Pier Francesco Mola,"Filosofo con Giovane (Philosopher with Student), c. 1650–1660"
7,1971.46.1,Nasher Painting Storage Room,Screen,52.0,A,Robert Broderson,Child Peering Through Arms
8,1971.49.1,Nasher Painting Storage Room,Screen,59.0,A,Leonard Baskin,"Profile Portrait of a Turbaned Man, 1961"
9,1971.57.1,Nasher Painting Storage Room,Screen,54.0,B,Hobson Pittman,"The Painter, 20th century"
10,1971.58.1,Nasher Painting Storage Room,Screen,19.0,B,Ernest Lawson,"Mother and Child, 1897"
11,1972.25.1,Nasher Painting Storage Room,Screen,23.0,B,John James Masquerier,"Amy Joan Greatorex, 1809"
12,1972.26.1,Nasher Painting Storage Room,Screen,23.0,B,John James Masquerier,"Elizabeth Jane Hinchliffe, 1805"
13,1972.30.1,Nasher Painting Storage Room,Screen,52.0,A,Rudy Pozzatti,"Palozzo Florence, 1955"
14,1972.32.1,Nasher Painting Storage Room,Screen,2.0,B,Silvia Heyden,"Omega, 1972"
15,1972.42.1,Nasher Painting Storage Room,Screen,61.0,A,"Raimondo Puccinelli, American, 1904 - 1986","Seated Woman, n.d."
16,1973.1.690,Nasher Painting Storage Room,Screen,58.0,B,Paracas,"Shawl with Emboridered Border, 700–200 BCE"
17,1973.1.695,Nasher Painting Storage Room,Screen,5.0,B,Tiahuanaco,"Poncho Panel, 700–1000"
18,1973.1.701,Nasher Painting Storage Room,Screen,58.0,B,Tiahuanaco,"Feather Poncho, 700–1000"
19,1973.1.702,Nasher Painting Storage Room,Screen,28.0,B,Tiahuanaco,"Pouch, reds, green, blue, and yellow, 700–1000"
20,1973.1.706,Nasher Painting Storage Room,Screen,28.0,B,Peruvian,"Shaped Bag, 1476–1534"
21,1973.1.711,Nasher Painting Storage Room,Screen,50.0,B,Inca,"Panel: red and yellow feathers motif, 1438–1532"
22,1973.1.717,Nasher Painting Storage Room,Screen,28.0,B,"Peruvian, South Coast","Carrying Cloth, before 1533"
23,1973.1.718,Nasher Painting Storage Room,Screen,28.0,B,Nazca,"Cocoa Pouch with Tassel, 200 BCE–700 CE"
24,1973.1.720,Nasher Painting Storage Room,Screen,28.0,B,Nazca,"Cocoa Pouch with Tassel, 200 BCE–700 CE"
